Ecoli_Full_Process,Ecoli_Min_Process,Salmonella_Full_Process,Salmonella_Min_Process,Ecoli_Full_WT,Ecoli_Full_DTA/DL,Ecoli_Full_DTA,Ecoli_Min_WT,Ecoli_Min_DTA/DL,Ecoli_Min_DTA,Salmonella_Full_WT,Salmonella_Full_DTA,Salmonella_Full_DTA/IL,Salmonella_Min_WT,Salmonella_Min_DTA,Salmonella_Min_DTA/IL,fp_dist,ind_dist,sf_only_dist,sm_only_dist,ef_only_dist,em_only_dist,sf_focus_dist,sm_focus_dist,ef_focus_dist,em_focus_dist
0.0,0.0,2.0,0.0,24604.279033676023,24176.04940421059,24604.279033676023,19577.273291599304,19236.117293677893,19577.273291599304,199.57593003639528,199.57593003639528,199.57593003639528,2641.226047664736,30876.2794539452,31646.13499832976,22,"[2, 3, 2, 2, 11, 9, 9, 6]",2,3,2,2,11,9,9,6
0.0,0.0,2.0,1.0,24604.279033676023,24176.04940421059,24604.279033676023,19577.273291599304,19236.117293677893,19577.273291599304,199.57593003639528,199.57593003639528,199.57593003639528,2367.5872092539425,2367.5872092539425,2367.5872092539425,26,"[2, 3, 2, 2, 11, 13, 9, 10]",2,3,2,2,11,13,9,10
0.0,0.0,2.0,2.0,24604.279033676023,24176.04940421059,24604.279033676023,19577.273291599304,19236.117293677893,19577.273291599304,199.57593003639528,199.57593003639528,199.57593003639528,2367.5872092539425,2367.5872092539425,2367.5872092539425,26,"[2, 3, 2, 2, 11, 13, 9, 10]",2,3,2,2,11,13,9,10
0.0,0.0,2.0,3.0,24604.279033676023,24176.04940421059,24604.279033676023,19577.273291599304,19236.117293677893,19577.273291599304,199.57593003639528,199.57593003639528,199.57593003639528,2641.226047664736,30876.2794539452,30876.2794539452,22,"[2, 3, 2, 2, 11, 9, 9, 6]",2,3,2,2,11,9,9,6
0.0,0.0,2.0,4.0,24604.279033676023,24176.04940421059,24604.279033676023,19577.273291599304,19236.117293677893,19577.273291599304,199.57593003639528,199.57593003639528,199.57593003639528,2639.966848161774,30876.24853491096,31646.13499832976,22,"[2, 3, 2, 2, 11, 9, 9, 6]",2,3,2,2,11,9,9,6
0.0,0.0,2.0,5.0,24604.279033676023,24176.04940421059,24604.279033676023,19577.273291599304,19236.117293677893,19577.273291599304,199.57593003639528,199.57593003639528,199.57593003639528,2367.5872092539425,2367.5872092539425,2367.5872092539425,26,"[2, 3, 2, 2, 11, 13, 9, 10]",2,3,2,2,11,13,9,10
0.0,0.0,2.0,6.0,24604.279033676023,24176.04940421059,24604.279033676023,19577.273291599304,19236.117293677893,19577.273291599304,199.57593003639528,199.57593003639528,199.57593003639528,2367.5872092539425,2367.5872092539425,2367.5872092539425,26,"[2, 3, 2, 2, 11, 13, 9, 10]",2,3,2,2,11,13,9,10
0.0,0.0,2.0,7.0,24604.279033676023,24176.04940421059,24604.279033676023,19577.273291599304,19236.117293677893,19577.273291599304,199.57593003639528,199.57593003639528,199.57593003639528,2639.966848161774,30876.24853491096,30876.24853491096,22,"[2, 3, 2, 2, 11, 9, 9, 6]",2,3,2,2,11,9,9,6
0.0,0.0,2.0,8.0,24604.279033676023,24176.04940421059,24604.279033676023,19577.273291599304,19236.117293677893,19577.273291599304,199.57593003639528,199.57593003639528,199.57593003639528,2638.476899749059,30860.88791907596,31646.13499832976,22,"[2, 3, 2, 2, 11, 9, 9, 6]",2,3,2,2,11,9,9,6
0.0,0.0,2.0,9.0,24604.279033676023,24176.04940421059,24604.279033676023,19577.273291599304,19236.117293677893,19577.273291599304,199.57593003639528,199.57593003639528,199.57593003639528,2367.5872092539425,2367.5872092539425,2367.5872092539425,26,"[2, 3, 2, 2, 11, 13, 9, 10]",2,3,2,2,11,13,9,10
