well,protocol,A600,A700,mhYFP,mRaspberry,date,bacterium,strain,plasmid,promoter,code,biorep,antibiotic,mhYFP_by_A600,mRas_by_A600
D9,PRT14_6,0.7506666666666666,0.6186666666666666,626.6666666666666,20595,2024_08_23,Salmonella enterica Typhimurium SL1344,WT,pBR322 PleuWT.1minRBS mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1minRBS mRaspberry,pTORC64,11,Ampicillin,834.8134991119006,27435.61278863233
D10,PRT14_6,0.5806666666666667,0.45066666666666666,544.6666666666666,19711,2024_08_23,Salmonella enterica Typhimurium SL1344,WT,pBR322 PleuWT.1minRBS mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1minRBS mRaspberry,pTORC64,12,Ampicillin,938.0022962112514,33945.464982778416
D11,PRT14_6,0.7006666666666667,0.5696666666666667,12224.666666666666,60,2024_08_23,Salmonella enterica Typhimurium SL1344,WT,pBR322 PleuWT.1 mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1 mhYFP,pTORC65,11,Ampicillin,17447.19314938154,85.63273073263558
D12,PRT14_6,0.6066666666666666,0.4796666666666667,12039.666666666666,46,2024_08_23,Salmonella enterica Typhimurium SL1344,WT,pBR322 PleuWT.1 mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1 mhYFP,pTORC65,12,Ampicillin,19845.6043956044,75.82417582417584
E1,PRT14_6,0.6706666666666666,0.5546666666666666,475.66666666666663,30,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔtopA::cat,pBR322,None,pTORC1,11,Ampicillin,709.2445328031808,44.73161033797217
E2,PRT14_6,0.6616666666666666,0.5496666666666666,589.6666666666666,29,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔtopA::cat,pBR322,None,pTORC1,12,Ampicillin,891.183879093199,43.8287153652393
E3,PRT14_6,0.6876666666666666,0.5636666666666666,20275.666666666668,30,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔtopA::cat,pBR322 PleuWT.1min mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1min mhYFP,pTORC49,11,Ampicillin,29484.73097430926,43.62578768783325
E4,PRT14_6,0.6976666666666667,0.5676666666666667,20324.666666666668,53,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔtopA::cat,pBR322 PleuWT.1min mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1min mhYFP,pTORC49,12,Ampicillin,29132.345914954614,75.96751075011944
E5,PRT14_6,0.7196666666666667,0.6116666666666666,79543.66666666667,26,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔtopA::cat,pBR322 PleuWT.1minRBS mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1minRBS mhYFP,pTORC50,11,Ampicillin,110528.485409912,36.12783696155628
E6,PRT14_6,0.6206666666666666,0.5206666666666666,82513.66666666667,18,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔtopA::cat,pBR322 PleuWT.1minRBS mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1minRBS mhYFP,pTORC50,12,Ampicillin,132943.60902255643,29.00107411385607
E7,PRT14_6,0.7306666666666666,0.6176666666666666,530.6666666666666,10538,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔtopA::cat,pBR322 PleuWT.1min mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1min mRaspberry,pTORC63,11,Ampicillin,726.2773722627737,14422.445255474457
E8,PRT14_6,0.6816666666666666,0.5676666666666667,628.6666666666666,9242,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔtopA::cat,pBR322 PleuWT.1min mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1min mRaspberry,pTORC63,12,Ampicillin,922.2493887530562,13557.946210268949
E9,PRT14_6,0.6956666666666667,0.5786666666666667,456.66666666666663,22772,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔtopA::cat,pBR322 PleuWT.1minRBS mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1minRBS mRaspberry,pTORC64,11,Ampicillin,656.4446574029707,32734.068040249163
E10,PRT14_6,0.6806666666666666,0.5636666666666666,595.6666666666666,22289,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔtopA::cat,pBR322 PleuWT.1minRBS mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1minRBS mRaspberry,pTORC64,12,Ampicillin,875.1224289911851,32745.83741429971
E11,PRT14_6,0.7106666666666667,0.6026666666666667,21661.666666666668,40,2024_08_23,Salmonella enterica Typhimurium SL1344,ΔtopA::cat,pBR322 PleuWT.1 mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1 mhYFP,pTORC65,11,Ampicillin,30480.76923076923,56.28517823639775
