well,protocol,A600,A700,mhYFP,mRaspberry,date,bacterium,strain,plasmid,promoter,code,biorep,antibiotic,mhYFP_by_A600,mRas_by_A600
B2,PRT14_6,0.7086666666666667,0.5836666666666667,773.6666666666666,36,2024_08_23,Escherichia coli K12 MG1655,ΔtopA::cat,pBR322,None,pTORC1,12,Ampicillin,1091.7215428033867,50.79962370649106
B3,PRT14_6,0.6176666666666666,0.5116666666666666,6680.666666666667,34,2024_08_23,Escherichia coli K12 MG1655,ΔtopA::cat,pBR322 PleuWT.1min mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1min mhYFP,pTORC49,11,Ampicillin,10815.974096060445,55.045871559633035
B4,PRT14_6,0.6116666666666666,0.5156666666666666,6622.666666666667,30,2024_08_23,Escherichia coli K12 MG1655,ΔtopA::cat,pBR322 PleuWT.1min mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1min mhYFP,pTORC49,12,Ampicillin,10827.247956403271,49.04632152588557
B7,PRT14_6,0.6696666666666666,0.5626666666666666,881.6666666666666,4052,2024_08_23,Escherichia coli K12 MG1655,ΔtopA::cat,pBR322 PleuWT.1min mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1min mRaspberry,pTORC63,11,Ampicillin,1316.5754106520658,6050.771528123445
B8,PRT14_6,0.6966666666666667,0.5906666666666667,748.6666666666666,3781,2024_08_23,Escherichia coli K12 MG1655,ΔtopA::cat,pBR322 PleuWT.1min mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1min mRaspberry,pTORC63,12,Ampicillin,1074.641148325359,5427.272727272727
B11,PRT14_6,0.6986666666666667,0.5906666666666667,11021.666666666666,56,2024_08_23,Escherichia coli K12 MG1655,ΔtopA::cat,pBR322 PleuWT.1 mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1 mhYFP,pTORC65,11,Ampicillin,15775.286259541985,80.1526717557252
B12,PRT14_6,0.6546666666666666,0.5446666666666666,11239.666666666666,55,2024_08_23,Escherichia coli K12 MG1655,ΔtopA::cat,pBR322 PleuWT.1 mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1 mhYFP,pTORC65,12,Ampicillin,17168.533604887984,84.01221995926682
C1,PRT14_6,0.7656666666666666,0.6536666666666666,1287.6666666666665,46,2024_08_23,Escherichia coli K12 MG1655,"ΔlacIZYA::FRT
ΔtopA::cat",pBR322,None,pTORC1,11,Ampicillin,1681.7588158467565,60.07836308228124
C2,PRT14_6,0.7606666666666666,0.6506666666666666,1200.6666666666665,43,2024_08_23,Escherichia coli K12 MG1655,"ΔlacIZYA::FRT
ΔtopA::cat",pBR322,None,pTORC1,12,Ampicillin,1578.4399649430325,56.52936021034181
C3,PRT14_6,0.7386666666666666,0.6166666666666666,13881.666666666666,41,2024_08_23,Escherichia coli K12 MG1655,"ΔlacIZYA::FRT
ΔtopA::cat",pBR322 PleuWT.1min mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1min mhYFP,pTORC49,11,Ampicillin,18792.870036101085,55.50541516245488
C4,PRT14_6,0.7796666666666666,0.6726666666666666,14218.666666666666,31,2024_08_23,Escherichia coli K12 MG1655,"ΔlacIZYA::FRT
ΔtopA::cat",pBR322 PleuWT.1min mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1min mhYFP,pTORC49,12,Ampicillin,18236.8533561351,39.760581445061995
C7,PRT14_6,0.7216666666666667,0.6206666666666666,1434.6666666666665,3884,2024_08_23,Escherichia coli K12 MG1655,"ΔlacIZYA::FRT
ΔtopA::cat",pBR322 PleuWT.1min mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1min mRaspberry,pTORC63,11,Ampicillin,1987.9907621247112,5381.986143187067
C8,PRT14_6,0.6906666666666667,0.5926666666666667,1386.6666666666665,3941,2024_08_23,Escherichia coli K12 MG1655,"ΔlacIZYA::FRT
ΔtopA::cat",pBR322 PleuWT.1min mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1min mRaspberry,pTORC63,12,Ampicillin,2007.7220077220074,5706.081081081081
C11,PRT14_6,0.7296666666666666,0.6216666666666666,10412.666666666666,33,2024_08_23,Escherichia coli K12 MG1655,"ΔlacIZYA::FRT
ΔtopA::cat",pBR322 PleuWT.1 mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1 mhYFP,pTORC65,11,Ampicillin,14270.443124714482,45.22613065326634
C12,PRT14_6,0.6786666666666666,0.5726666666666667,11657.666666666666,34,2024_08_23,Escherichia coli K12 MG1655,"ΔlacIZYA::FRT
ΔtopA::cat",pBR322 PleuWT.1 mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1 mhYFP,pTORC65,12,Ampicillin,17177.308447937132,50.09823182711199
